id	form_id	section	ord	passage_id	passage_type	passage_title	passage_text	topic	skill_code	difficulty	question	choice_a	choice_b	choice_c	choice_d	answer	explanation
FA_EN_029	A	EN	29					Semicolon vs Comma	E5.O	Medium	The lake is deep ___ the water is cold.	;	,	:	—	A	Use a semicolon to join two independent clauses.
FA_EN_030	A	EN	30					Colon: Explanation	E5.P	Easy	We postponed the trip for one reason ___ flooding.	:	,	;	—	A	Colon introduces an explanation after a complete clause.
FA_EN_031	A	EN	31					Apostrophes (Compound)	E5.J	Hard	The ___ shop closed early.	brothers-in-law’s	brother-in-laws’	brothers-in-laws’	brother’s-in-law’s	A	Plural of “brother-in-law” is “brothers-in-law”; add ’s to the whole plural.
FA_EN_032	A	EN	32					Nonessential Clause Commas	E5.U	Medium	Choose the best version.	The library, which opened in 1910, was renovated.	The library which opened in 1910 was renovated.	The library which, opened in 1910, was renovated.	The library; which opened in 1910; was renovated.	A	Nonessential clause requires commas on both sides.
FA_EN_033	A	EN	33					Who vs That (People)	E2.R	Easy	She is the scientist ___ won the award.	who	that	whom	which	A	Use “who” for people as the subject of the clause.
FA_EN_034	A	EN	34					Transition (Contrast)	E8.O	Medium	The policy is beneficial; ___, it may increase costs.	however	moreover	consequently	meanwhile	A	“However” signals contrast.
FA_EN_035	A	EN	35					Modifier Placement	E4.H	Easy	Best fix: She only ate the apples in the basket.	She ate only the apples in the basket.	Only she ate the apples in the basket.	She ate the apples only in the basket.	She ate the only apples in the basket.	A	Place “only” next to what it limits.
FA_EN_036	A	EN	36					Correlative Parallelism	E4.T	Medium	The study is not only thorough but also ___.	clear	clearly	clarity	a clarity	A	Balance with the same part of speech (adjective).
FA_EN_037	A	EN	37					Sentence Combination	E7.F	Medium	The museum is small. It houses rare artifacts.	Although the museum is small, it houses rare artifacts.	The museum is small, it houses rare artifacts.	The museum is small; which houses rare artifacts.	Being small, rare artifacts are housed by the museum.	A	Use subordination; avoid splice and fragment.
FA_EN_038	A	EN	38					Concision	E8.Q	Easy	Best revision: Due to the fact that the bus was late, we missed the show.	Because the bus was late, we missed the show.	Due to the fact the bus was late, we missed the show.	As a result of the bus being late, we missed the show.	Because of the lateness of the bus, we missed the show.	A	Replace wordy phrases with “because.”
FA_EN_039	A	EN	39					Coordinate Adjectives	E5.F	Easy	Choose the best punctuation: a long ___ tedious commute.	,	(omit)	;	:	A	Coordinate adjectives take a comma.
FA_EN_040	A	EN	40					Hyphens (Compound Adj)	E5.L	Medium	Choose the best version.	state-of-the-art equipment	state of the art equipment	state-of-the art equipment	state of-the-art equipment	A	Hyphenate a compound adjective before a noun.
FA_EN_041	A	EN	41					Dashes in Pairs	E5.M	Medium	The speaker — who arrived late — apologized.	Correct as is	The speaker, who arrived late— apologized.	The speaker— who arrived late, apologized.	The speaker who arrived late apologized.	A	Use matching punctuation to bracket nonessential info.
FA_EN_042	A	EN	42					Its vs It’s	E2.E	Easy	The team postponed ___ practice.	its	it’s	its’	it is	A	Possessive “its” has no apostrophe.
FA_EN_043	A	EN	43					Ambiguous Pronoun	E2.T	Hard	When Maya met Alia after Sam texted her, she smiled.	Ambiguous; specify who was texted and who smiled	She smiled after Sam texted Maya, and then Maya met Alia.	She smiled after Sam texted Alia, and then Maya met Alia.	Keep as is	A	Original has unclear references; rewrite for clarity.
FA_EN_044	A	EN	44					Word Choice: Less/Fewer	E4.X	Easy	There were ___ bottles left after the event.	fewer	less	fewest	least	A	Countable nouns take “fewer.”
FA_EN_045	A	EN	45					Comparison Structure	E4.R	Medium	The museum attracts more visitors than ___.	it did last year	last year	those last year	that last year	A	Complete the comparison: “than it did last year.”
FA_EN_046	A	EN	46					Subjunctive (Mandative)	E3.Q	Hard	The guidelines require that he ___ present.	be	is	were	has been	A	Mandative subjunctive uses base form after “require.”
FA_EN_047	A	EN	47					Rhetoric: Add/Delete	E8.B	Medium	Add this sentence? “Also, my cousin loves the park.” The paragraph argues for funding trail maintenance.	Delete; it’s irrelevant	Add; it adds personal voice	Keep; it adds humor	Keep if revised into a quote	A	Personal anecdote unrelated to funding weakens the argument.
FA_EN_048	A	EN	48					Rhetoric: Placement	E8.C	Medium	Where should a sentence acknowledging an opposing view typically appear?	After the paragraph’s claim, followed by a rebuttal	In the thesis statement	In the conclusion only	As a stand-alone aside at the end	A	Counterargument should be introduced then refuted within the body.
FA_EN_049	A	EN	49					Semicolon + Conjunctive Adv.	E5.S	Medium	We missed the connection; ___, we arrived by midnight.	however	moreover	nevertheless	meanwhile	C	“Nevertheless” contrasts outcome with the missed connection.
FA_EN_050	A	EN	50					Fragment Fix	E7.O	Easy	Best fix for the fragment: Which caused the delay.	The storm caused the delay.	Which, the storm caused the delay.	The storm caused the delay; which.	There was a delay, which.	A	Convert the fragment into a complete sentence.
FA_EN_051	A	EN	51					Subject–Verb Agreement	E1.X	Easy	The news from the agencies ___ encouraging.	is	are	has been	were	A	“News” is a singular mass noun → “is.”
FA_EN_052	A	EN	52					Pronoun Case	E2.S	Easy	___ and I will present the findings.	She	Her	Hers	Herself	A	Subject position → subject case “She.”
FA_EN_053	A	EN	53					Pronoun Reference	E2.T	Hard	When Dana called Riley after Jordan emailed her, she sounded worried.	Ambiguous; specify who “she” is	Dana sounded worried	Riley sounded worried	Keep as is	A	Original pronoun is unclear; revise for clarity.
FA_EN_054	A	EN	54					Verb Sequence	E3.N	Medium	By next summer, the team ___ the prototype.	will complete	will have completed	completed	has completed	B	Future perfect for action finished before a future time.
FA_EN_055	A	EN	55					Verb Consistency	E3.P	Easy	The report outlines goals and ___ a timeline.	provides	provide	provided	is providing	A	Maintain present tense with “outlines.”
FA_EN_056	A	EN	56					Subjunctive (Mandative)	E3.Q	Medium	The committee suggested that the chair ___ immediately.	resign	resigns	resigned	has resigned	A	Mandative subjunctive uses base form after verbs like “suggest.”
FA_EN_057	A	EN	57					Active vs Passive	E3.S	Easy	Most concise: The decision was made by the editor.	The editor made the decision.	The decision, it was made by the editor.	The editor did make a decision.	The decision got made by the editor.	A	Active voice is direct and concise.
FA_EN_058	A	EN	58					Parallelism	E4.S	Medium	The fellowship values mentoring, publishing, and ___.	community engagement	to engage the community	engage the community	engaged the community	A	Keep all items as nouns/gerunds.
FA_EN_059	A	EN	59					Correlative Parallelism	E4.T	Medium	The design is either efficient or ___.	unreliable	unreliably	more efficiency	an efficiency	A	Balance adjectives: efficient / unreliable.
FA_EN_060	A	EN	60					Dangling Modifier	E4.U	Medium	Best fix: Walking down the street, the rain started.	Walking down the street, we felt the rain start.	Walking down the street, the rain was starting.	Walking, the rain started down the street.	Down the street, walking, the rain started.	A	Modifier must describe the subject that follows (“we”).
FA_EN_061	A	EN	61					Misplaced Modifier	E4.V	Medium	Best fix: She almost read the entire manual in one night.	She read almost the entire manual in one night.	Almost she read the entire manual in one night.	She read the entire manual almost in one night.	She read the almost entire manual in one night.	A	Place “almost” next to what it limits.
FA_EN_062	A	EN	62					Idiom/Usage	E4.AB	Easy	The team prefers coffee ___ tea during meetings.	to	over	than	with	A	Standard idiom: “prefer A to B.”
FA_EN_063	A	EN	63					Idiom/Usage	E4.AC	Easy	Choose the correct idiom: Decide ___ the two options.	between	among	amid	within	A	Use “between” for two.
FA_EN_064	A	EN	64					Apostrophes (Time)	E5.X	Medium	The job requires two ___ notice.	weeks'	week's	weeks	weeks’s	A	Time expression takes plural possessive: weeks'.
FA_EN_065	A	EN	65					Colon (Explanation)	E5.P	Easy	We postponed the launch for one reason ___ safety.	:	,	;	—	A	Colon introduces an explanation after a complete clause.
FA_EN_066	A	EN	66					Semicolon vs Comma	E5.O	Medium	The river is high ___ the walkway is closed.	;	,	:	—	A	Join two independent clauses with a semicolon.
FA_EN_067	A	EN	67					Hyphens (Compound Adj)	E5.L	Medium	Choose the best version.	a well-known author	a well known author	a well-known-author	an author well-known	A	Compound adjective before a noun is hyphenated.
FA_EN_068	A	EN	68					Dashes in Pairs	E5.M	Medium	The plan — though costly — saved time.	Correct as is	The plan, though costly— saved time.	The plan— though costly, saved time.	The plan though costly saved time.	A	Use matching punctuation to bracket nonessential info.
FA_EN_069	A	EN	69					Quotation Punctuation	E5.N	Easy	Choose the correct version.	“We won,” she said.	“We won”, she said.	“We won”; she said.	“We won”: she said.	A	Comma inside quotation marks in American usage.
FA_EN_070	A	EN	70					Comma Splice Fix	E7.B	Medium	The test ended, the lights came on.	The test ended, and the lights came on.	The test ended because the lights came on.	The test ended however, the lights came on.	The test ended; because the lights came on.	A	Use comma + coordinating conjunction to join two sentences.
FA_EN_071	A	EN	71					Fragment Fix	E7.A	Easy	Best fix: Such as missing data and outliers.	The report noted missing data and outliers.	Such as missing data and outliers, the report noted.	There were such as missing data and outliers.	Missing data and outliers such as.	A	Attach the example phrase to a complete clause.
FA_EN_072	A	EN	72					Coordination/Subordination	E7.R	Medium	The device failed, it overheated.	The device failed because it overheated.	The device failed; because it overheated.	The device failed, and because it overheated.	Failing, the device overheated.	A	Show causal relationship; avoid comma splice.
FA_EN_073	A	EN	73					Rhetoric: Keep/Delete	E8.M	Easy	Add this sentence? “In 2024, 62% of respondents reported delays.” The paragraph argues that shipping delays are common.	Add; the statistic is relevant and supports the claim	Delete; numbers distract readers	Keep only if you add jokes	Keep; tone matters more than evidence	A	Relevant, specific evidence strengthens the argument.
FA_EN_074	A	EN	74					Rhetoric: Transition	E8.O	Medium	The method is accurate; ___, it is slower than alternatives.	however	moreover	consequently	meanwhile	A	“However” signals contrast.
FA_EN_075	A	EN	75					Rhetoric: Tone/Concision	E8.Q	Medium	Best revision for formal tone and brevity: The results were kind of all over the place.	The results were inconsistent.	The results were super random.	The results were totally all over.	The results were a mixed bag.	A	Precise and concise wording fits formal context.
